id,text,category
1,"Расскажите о вашем опыте работы в команде",общие
2,"Какие технологии и инструменты вы использовали в последнем проекте?",технические
3,"Как вы решаете конфликтные ситуации?",личностные
4,"Расскажите о самом сложном проекте, над которым вы работали",профессиональные
5,"Какие у вас сильные и слабые стороны?",личностные
6,"Почему вы хотите работать именно в нашей компании?",мотивационные
7,"Как вы видите своё профессиональное развитие через 5 лет?",карьерные
8,"Опишите ситуацию, когда вам приходилось быстро адаптироваться к изменениям",ситуационные
9,"Какой вклад вы могли бы внести в развитие нашей компании?",ценностные
10,"Расскажите о ситуации, когда вам пришлось работать в условиях стресса",стрессоустойчивость 
